ID,logFC,P.Value
ILMN_1695461,-0.80939651,0.0035061
ILMN_1652065,-1.23058836,0.0035146
ILMN_3268697,-0.95628801,0.0035314
ILMN_1691884,0.91009807,0.0035319
ILMN_3253456,0.81133681,0.0036112
ILMN_1671489,1.29051168,0.003628
ILMN_1776842,1.05689885,0.0036296
ILMN_1722025,1.01389352,0.0036513
ILMN_1692517,-0.74638025,0.00366
ILMN_1720181,0.7695815,0.003662
ILMN_3245912,1.76809038,0.0037241
ILMN_1666156,0.77678938,0.0037542
ILMN_2336094,1.44283985,0.0037652
ILMN_1702698,-0.8200822,0.0037706
ILMN_1728009,-1.11502512,0.0037736
ILMN_1679092,-0.94058736,0.003794
ILMN_1763467,-0.69846628,0.0037967
ILMN_1698766,-2.41562623,0.003853
ILMN_2384122,-0.78466569,0.0038568
ILMN_1662743,0.89388282,0.0038651
ILMN_1736567,-2.17042157,0.0038823
ILMN_2318568,-0.82735881,0.0039111
ILMN_1707356,-0.69775406,0.0039315
ILMN_3250257,-0.96830466,0.0039642
ILMN_2371397,0.77398195,0.0039657
ILMN_2201580,-0.88236278,0.0040007
ILMN_1758164,3.00986288,0.0040489
ILMN_3241051,-0.68991196,0.0040654
ILMN_2304512,4.53172866,0.0040726
ILMN_2192072,2.40524401,0.0040854
ILMN_1911042,-0.93583297,0.0040951
ILMN_1684919,-0.67617651,0.0042082
ILMN_1843949,0.67702899,0.0042304
ILMN_2224486,-0.7121641,0.0042356
ILMN_3201986,-0.78933644,0.0042362
ILMN_1752728,-0.894639,0.0043344
ILMN_1726041,0.67909622,0.0043547
ILMN_3248282,0.71700812,0.0043805
ILMN_1758093,0.72287134,0.0044093
ILMN_3240520,-1.18230397,0.0044177
ILMN_1654966,-0.91789464,0.0044699
ILMN_2322552,0.68185894,0.0044724
ILMN_1676088,-0.9565509,0.0044847
ILMN_1693107,-0.82306736,0.0045095
ILMN_2157441,-1.64788428,0.0045499
ILMN_1692200,-0.72012121,0.0046183
ILMN_1852179,-0.70434565,0.0046438
ILMN_2348367,0.80630272,0.0046682
ILMN_1678086,-1.02442469,0.0046829
ILMN_1750400,-0.92663257,0.0046889
ILMN_1683883,0.66119598,0.0047964
ILMN_2131861,0.9612031,0.0048927
ILMN_1692398,-1.59312043,0.0048986
ILMN_1803945,-1.45872433,0.0049182
ILMN_1765165,-0.65096734,0.0049314
ILMN_2262901,-0.68468246,0.0049331
ILMN_1731714,-0.70730056,0.004934
ILMN_1766366,-0.66698328,0.004954
ILMN_2328666,-0.69321107,0.0049911
ILMN_1740407,0.96364619,0.0050029
ILMN_1759910,0.8204431,0.0050172
ILMN_1657373,-1.87419353,0.0050249
ILMN_1810037,0.85349538,0.0050269
ILMN_1914495,0.71568304,0.0050278
ILMN_1741392,0.65702043,0.0050898
ILMN_1810324,0.77585245,0.0051572
ILMN_1814011,-0.67014707,0.0052172
ILMN_1747311,-0.69341475,0.0052181
ILMN_1814719,1.68969427,0.0052289
ILMN_2386444,1.66422662,0.0052314
ILMN_1694840,-1.13294464,0.0052535
ILMN_1725427,-0.67744573,0.0052808
ILMN_2172969,0.84810892,0.0053135
ILMN_1739558,0.71753452,0.005326
ILMN_1714428,-1.02102948,0.0053336
ILMN_1713952,0.79074577,0.0053381
ILMN_1712708,-1.10500952,0.0053472
ILMN_1745593,-0.89943223,0.0054344
ILMN_1656088,-1.66841662,0.0054696
ILMN_1790971,0.94110276,0.0055529
ILMN_1718558,-0.8342704,0.0055608
ILMN_1676448,-0.66038415,0.0055641
ILMN_1784948,-2.44933311,0.0055737
ILMN_1733515,0.93502396,0.0056411
ILMN_1668374,0.65006962,0.0056501
ILMN_2387712,-1.35092605,0.0056596
ILMN_2226917,0.91854816,0.0056843
ILMN_2340347,1.467097,0.0056989
ILMN_1685378,-0.82634678,0.0057274
ILMN_2283597,1.75992944,0.0057912
ILMN_2361186,0.71751885,0.0058071
ILMN_1774287,-1.65890783,0.0058266
ILMN_1706779,-0.65315857,0.0058381
ILMN_1755173,-0.75378143,0.0058726
ILMN_1749792,1.43495085,0.0058992
ILMN_3208056,-0.7277446,0.0059113
ILMN_1752520,-0.92395554,0.0059289
ILMN_1663042,-0.7720907,0.0059571
ILMN_1896455,-0.75279471,0.0059815
ILMN_1803811,0.69602726,0.0059819
ILMN_1784822,0.67151197,0.0060303
ILMN_1777263,-0.81376401,0.0060415
ILMN_1738749,0.77385587,0.0060505
ILMN_1758542,0.7657699,0.006114
ILMN_1750912,0.81715565,0.0062006
ILMN_1671728,-0.73897243,0.0062199
ILMN_1670306,1.83886362,0.0062518
ILMN_1795865,0.76592618,0.0062676
ILMN_1703374,0.65777462,0.0062913
ILMN_1712360,-1.18222426,0.0063013
ILMN_1659027,1.34008765,0.0063082
ILMN_2136446,-1.02245747,0.0063239
ILMN_1685403,2.06665204,0.0063429
ILMN_2278653,0.79418819,0.0063497
ILMN_1723962,-1.78048426,0.0063668
ILMN_1739734,0.78417504,0.0063679
ILMN_1807072,0.62315961,0.0063788
ILMN_2115336,-0.71561113,0.0064234
ILMN_1703695,0.61656219,0.0064733
ILMN_1660519,-0.96082275,0.0064915
ILMN_1773006,5.14009124,0.0065064
ILMN_1658759,0.6077879,0.0065074
ILMN_1760062,-1.11386274,0.0065205
ILMN_2184373,2.46742075,0.0065414
ILMN_2157141,-0.63151609,0.0065512
ILMN_2073289,-1.05042324,0.0065536
ILMN_1683026,-0.85595119,0.006586
ILMN_2276952,1.89742077,0.0065917
ILMN_1855510,-0.62751954,0.0066089
ILMN_1740291,-0.85132147,0.0066213
ILMN_2327203,0.76084718,0.0066626
ILMN_1671565,-0.74066496,0.0067222
ILMN_2386008,0.76068886,0.0067487
ILMN_3200597,-0.71366156,0.0067734
