ID,logFC,P.Value
ILMN_1798819,-0.19600833,0.2503726
ILMN_1741049,-0.183418,0.2503844
ILMN_3278642,-0.21963687,0.2504004
ILMN_1655316,-0.22145234,0.2504395
ILMN_3283090,-0.17992084,0.2504663
ILMN_1735402,0.18110961,0.2505055
ILMN_1733174,0.33976762,0.2505357
ILMN_1788223,0.32174187,0.2505367
ILMN_3310093,-0.17973614,0.2505645
ILMN_1680993,0.24190361,0.2505721
ILMN_3245712,0.19809149,0.2505911
ILMN_1684485,-0.21990383,0.2506663
ILMN_1905832,0.22630069,0.2506721
ILMN_1806937,-0.19754176,0.2507146
ILMN_1724109,-0.21690142,0.2507266
ILMN_1763975,0.17475078,0.250764
ILMN_1766814,0.22412255,0.2508094
ILMN_1800408,0.21621323,0.2508146
ILMN_1708110,0.31129094,0.2508192
ILMN_3238735,0.39822416,0.2508814
ILMN_1828225,0.19704346,0.2509103
ILMN_1704441,0.20679365,0.2509402
ILMN_1690122,0.16765111,0.2509419
ILMN_1852387,-0.35029387,0.2509449
ILMN_1731001,-0.27567298,0.2510043
ILMN_2105223,-0.20807247,0.2510146
ILMN_1792837,0.38172673,0.2510161
ILMN_2126461,-0.16834247,0.2510786
ILMN_1706240,-0.21612711,0.2510852
ILMN_1677487,0.25614218,0.2510979
ILMN_3300471,-0.33006602,0.2511014
ILMN_3310121,0.18687454,0.251142
ILMN_1711227,-0.49233745,0.2511529
ILMN_2275110,0.2576946,0.251191
ILMN_1786843,0.20090791,0.2512062
ILMN_2407168,-0.89040383,0.2512125
ILMN_1701483,0.23922754,0.2512186
ILMN_1814106,0.36310364,0.2512323
ILMN_1764967,-0.35504548,0.2512329
ILMN_1775835,0.19310987,0.251243
ILMN_1696901,0.22518798,0.2512621
ILMN_2081673,0.20375288,0.2512668
ILMN_1670172,-0.28190517,0.2512827
ILMN_3274246,-0.18409375,0.2513053
ILMN_1764496,-0.28906535,0.2513983
ILMN_1787379,-0.16926237,0.2514366
ILMN_1714738,-0.57233786,0.2514559
ILMN_1809342,0.1702511,0.2514628
ILMN_1758378,-0.23867008,0.2514995
ILMN_2367743,-0.3828319,0.2515018
ILMN_2387791,0.17591683,0.2515224
ILMN_1775334,0.19906557,0.2515493
ILMN_1799601,0.25566509,0.2515582
ILMN_1816244,0.44897377,0.2515583
ILMN_1674752,-0.22629974,0.2516
ILMN_1827287,0.1922901,0.2516223
ILMN_1752075,0.21544303,0.2516628
ILMN_1670893,-0.27355518,0.2516834
ILMN_2282641,0.2827398,0.2516848
ILMN_1672660,-1.33950641,0.2517026
ILMN_2367258,0.34198463,0.2517131
ILMN_1652854,0.20746998,0.2517412
ILMN_1691980,-0.25717444,0.251775
ILMN_3247118,-0.26179365,0.2518939
ILMN_3285483,-0.17975546,0.2519193
ILMN_1805827,-0.20225544,0.2519597
ILMN_1656327,0.17921947,0.2519607
ILMN_2185022,0.17606418,0.2519731
ILMN_1803483,0.20786317,0.2519794
ILMN_1751625,0.17919584,0.2519841
ILMN_2174711,0.16715348,0.2519847
ILMN_2339796,-0.24177458,0.2520023
ILMN_1658660,0.62765227,0.252034
ILMN_1667338,0.17205853,0.2520379
ILMN_1731929,0.22128499,0.2520429
ILMN_3274586,-0.24053624,0.2520746
ILMN_1670693,0.88447006,0.2520762
ILMN_1666536,0.16835588,0.2521102
ILMN_1670998,0.41519745,0.2521111
ILMN_1687825,0.18856462,0.252121
ILMN_3244611,0.30710547,0.2521306
ILMN_3206475,-0.22111476,0.2521382
ILMN_1690601,-0.21955739,0.2521755
ILMN_1659602,-0.18637806,0.2522162
ILMN_1702530,-0.25924516,0.2522256
ILMN_1832086,-0.25502511,0.2522282
ILMN_1760890,-0.1804841,0.2522429
ILMN_1698038,0.31132429,0.2522705
ILMN_1681930,0.23710554,0.2522768
ILMN_1661155,0.17054478,0.2523272
ILMN_1729831,0.27559465,0.2523532
ILMN_1781290,-0.48628209,0.2523972
ILMN_1717565,-0.25580811,0.2524654
ILMN_1695420,-0.29954482,0.2524722
ILMN_1699206,0.78684839,0.2524821
ILMN_1660305,-0.29101858,0.2525319
ILMN_2054827,-0.20299477,0.2525341
ILMN_3246993,-0.18004806,0.2525637
ILMN_3279611,0.26209681,0.2525685
ILMN_1915734,-0.20134246,0.2525696
ILMN_3242377,-0.29214006,0.2525744
ILMN_2401946,-0.31022346,0.2525823
ILMN_1665775,-0.6494492,0.2526127
ILMN_2288219,0.17845498,0.2526364
ILMN_1659737,0.30645736,0.2526581
ILMN_2395969,0.2353678,0.2526959
ILMN_1809818,0.22960695,0.2527062
ILMN_1771949,0.20180985,0.252716
ILMN_1739357,-0.17158826,0.2527607
ILMN_1669382,-0.30563144,0.2527701
ILMN_1659959,0.17557177,0.2527721
ILMN_2267084,-0.33389162,0.2527803
ILMN_1688776,0.18212112,0.2527852
ILMN_1761275,-0.17593514,0.2528192
ILMN_1791006,-0.21903008,0.2528564
ILMN_2321648,-0.17160362,0.2528575
ILMN_1709247,0.18181604,0.2528597
ILMN_1751345,-0.52049296,0.2528622
ILMN_1860125,-0.24972193,0.2528907
ILMN_1786532,0.2041279,0.2528929
ILMN_1712305,0.59142555,0.2529219
ILMN_1722022,0.19169855,0.2529302
ILMN_1671005,0.3182369,0.2529358
ILMN_3309819,-0.25632788,0.2529635
ILMN_2278235,0.33231793,0.2529808
ILMN_1779010,0.30206216,0.2529861
ILMN_1896653,0.24757817,0.2530135
ILMN_1740524,-0.2249862,0.2530216
ILMN_1673358,0.19402585,0.2530324
ILMN_1723662,0.34845816,0.25305
ILMN_1778464,0.30710672,0.2530735
ILMN_1655720,-0.16874428,0.2530757
ILMN_1811597,-0.19748599,0.2530776
ILMN_1697232,0.17400751,0.2531074
ILMN_1791508,0.77470904,0.2531601
ILMN_1709043,-0.22450261,0.2531698
ILMN_3179891,-0.47665421,0.2531777
ILMN_1781256,-0.22877176,0.2531985
ILMN_1720595,0.50525546,0.2532155
ILMN_1843303,-0.18018976,0.2532289
ILMN_1773236,-0.18939055,0.2532855
ILMN_1714014,-0.1781009,0.253292
ILMN_1663709,0.17177875,0.2533421
ILMN_1778684,-0.1873399,0.2533565
ILMN_1723908,0.1768732,0.2533721
ILMN_2156971,0.17117769,0.2533881
ILMN_1764549,0.1698408,0.2533885
ILMN_1657708,-0.66718,0.2533935
ILMN_1701127,-0.3829844,0.2533964
ILMN_1664525,0.1670911,0.2534757
ILMN_1783808,-0.28951817,0.2534891
ILMN_1673138,-0.33916378,0.2534953
ILMN_1713756,-0.25060887,0.2535431
ILMN_2208802,0.2487758,0.2535753
ILMN_1692100,0.20716378,0.2536181
ILMN_1768577,0.21412744,0.2536195
ILMN_1672049,-0.24938414,0.2536236
ILMN_2081070,0.18303683,0.2536251
ILMN_1773743,-0.20709565,0.2536446
ILMN_1809336,0.21679899,0.2536534
ILMN_1658383,0.21124278,0.2537147
ILMN_3295075,0.17806683,0.2537184
ILMN_2321064,-0.36437086,0.2537236
ILMN_1737230,0.20404936,0.2537307
ILMN_2112357,0.1819724,0.2537443
ILMN_1677376,0.34775515,0.2537443
ILMN_3235928,-0.1810999,0.2537868
ILMN_3187689,0.2065597,0.2538308
ILMN_1736142,0.16602562,0.2538358
ILMN_1805999,0.62363969,0.2538413
ILMN_2085844,0.46047955,0.2538459
ILMN_2191949,-0.16814884,0.2538663
ILMN_1731353,0.39838756,0.2538687
ILMN_1772399,0.23027211,0.2538925
ILMN_1783852,-0.21274425,0.2538987
ILMN_1861059,0.22853838,0.2539327
ILMN_1731062,0.17135588,0.2539513
ILMN_1856039,-0.39452277,0.2539544
ILMN_1672496,-0.20246184,0.2539546
ILMN_3310146,-0.18645832,0.2539576
ILMN_1714372,-0.26830933,0.2539654
ILMN_1817609,0.29033878,0.2539873
ILMN_1812841,-0.36705735,0.2540131
ILMN_1758928,-0.33764017,0.2540357
ILMN_1781045,-0.20313635,0.2540444
ILMN_2410449,0.16715352,0.2540635
ILMN_1684724,0.26877758,0.2540702
ILMN_1825300,0.19810831,0.2540882
ILMN_2131880,-0.28356722,0.2540893
ILMN_3237358,0.17148177,0.2540978
ILMN_1780146,0.18000969,0.2541002
ILMN_3249419,-0.16730827,0.2541041
ILMN_1700280,0.22126488,0.2541499
ILMN_1678680,0.22980283,0.2541888
ILMN_2167259,-0.1724268,0.2542105
ILMN_1827283,0.16568196,0.2542398
ILMN_1693345,-0.34944075,0.2542504
ILMN_2204280,0.22386284,0.2542621
ILMN_2262510,-0.17085047,0.2542699
ILMN_1697493,0.18984671,0.2542856
ILMN_3258781,0.16555179,0.2543085
ILMN_1756811,-0.21685421,0.2543279
ILMN_3234837,-0.38319541,0.2543743
ILMN_3308290,-0.18274971,0.2543751
ILMN_1657235,0.19771272,0.2543757
ILMN_1690223,1.74979435,0.2543836
ILMN_1678827,-0.18404728,0.2544325
ILMN_1780100,-0.18171815,0.2544778
ILMN_1751453,0.26580944,0.2544801
ILMN_1717229,-0.23321214,0.2544865
ILMN_3245410,0.39800919,0.2545106
ILMN_1902630,0.21958226,0.2545108
ILMN_2290998,-0.20687503,0.2545146
ILMN_1751816,-0.284106,0.2545466
ILMN_1876203,-0.19592539,0.2545476
ILMN_3249477,0.17854534,0.2545852
ILMN_1731349,0.21996352,0.2545937
ILMN_1713406,-0.19131114,0.2546423
ILMN_1706411,-0.17720051,0.2546608
ILMN_2099487,0.35680203,0.2546613
ILMN_1913281,-0.27225149,0.2546652
ILMN_1657855,-0.21567853,0.2546809
ILMN_1789342,0.31534237,0.2547025
ILMN_2137382,-0.1661043,0.2547093
ILMN_1707434,0.16677324,0.2547811
ILMN_1658697,-0.18253009,0.2548348
ILMN_3212833,-0.32161879,0.2548379
ILMN_3234841,-0.18658687,0.2548817
ILMN_3239709,-0.17479333,0.2548822
ILMN_2334080,0.3664367,0.2548929
ILMN_1774390,0.34461331,0.2549248
ILMN_2377385,-0.28884329,0.2549835
ILMN_2388585,0.30547079,0.2550174
ILMN_1798551,0.38699553,0.2550745
ILMN_1801307,-0.17448208,0.2550949
ILMN_3177354,-0.21279031,0.2551071
ILMN_1757914,-0.31190723,0.2551808
ILMN_1885478,0.25760781,0.2551967
ILMN_1711359,-0.20228761,0.2552252
ILMN_2104830,0.27418012,0.2552803
ILMN_1846306,-0.17996743,0.2553103
ILMN_2332553,-0.31056714,0.2553121
ILMN_1865935,0.23039077,0.2553122
ILMN_1688646,-0.18075115,0.2553226
ILMN_1764980,-0.21468155,0.2553264
ILMN_1721580,0.51445609,0.2553605
ILMN_1784299,-0.27972174,0.2553749
ILMN_1798875,0.22272082,0.2553807
ILMN_3249162,0.18428222,0.255381
ILMN_3289730,-0.1711272,0.2554081
ILMN_1742147,0.2314371,0.2554266
ILMN_1772207,-0.38953624,0.2555049
ILMN_1866856,0.16898263,0.2555151
ILMN_3245194,-0.21039589,0.2555262
ILMN_1661314,-0.23887528,0.2555612
ILMN_1887508,-0.21479718,0.2555977
ILMN_2224103,0.40873431,0.2556054
ILMN_1798014,0.31070391,0.2556558
ILMN_1733164,-0.19432679,0.2556566
ILMN_1746396,0.29706836,0.2557135
ILMN_3246356,-0.20737284,0.2557583
ILMN_1750100,0.24602771,0.2557794
ILMN_1797612,0.23330146,0.2557839
ILMN_1681374,-0.23032356,0.255814
ILMN_1808295,-0.25570333,0.2558437
ILMN_3308575,-0.26054962,0.2558688
ILMN_3232501,0.19399272,0.2558862
ILMN_1812581,0.18473546,0.2559023
ILMN_2312709,-0.27794922,0.2559049
ILMN_3241117,-0.25023945,0.255967
ILMN_1772260,-0.16748807,0.2559675
ILMN_1663145,0.31905685,0.2559736
ILMN_1688725,0.4146791,0.2559775
ILMN_1684796,-0.18611297,0.2559895
ILMN_1738424,-0.20752353,0.2560082
ILMN_3237665,-0.36761079,0.2560421
ILMN_1779584,-0.20090732,0.2560435
ILMN_1670695,-0.21441138,0.2560571
ILMN_1672729,0.16956209,0.2560573
ILMN_1791945,0.20020992,0.2560629
ILMN_2072973,-0.40161614,0.2560878
ILMN_1790530,-0.21458754,0.2560888
ILMN_1805652,0.19527547,0.2561141
ILMN_1738212,0.17985566,0.2561221
ILMN_1689868,0.23089131,0.2561355
ILMN_1751757,-0.20269172,0.256178
ILMN_3242615,-0.16937777,0.2562025
ILMN_1770811,0.34430487,0.2562256
ILMN_1788315,0.21549231,0.2562298
ILMN_1901977,-0.16705025,0.2562321
ILMN_1681798,0.18738499,0.2562608
ILMN_1774477,0.26289636,0.2562644
ILMN_1748352,-0.20305428,0.2563143
ILMN_1770505,-0.17361414,0.2563518
ILMN_1787676,0.19052064,0.2563551
ILMN_1654436,-0.24371218,0.2563601
ILMN_1780790,0.17143251,0.2563963
ILMN_1888949,-0.18635391,0.2564073
ILMN_3245869,-0.32932258,0.2564117
ILMN_3310870,0.32863837,0.2564454
ILMN_1758323,0.89679877,0.2564524
ILMN_1781207,0.32475823,0.2564576
ILMN_1855171,0.28846477,0.2564784
ILMN_1756693,0.16490153,0.2564923
ILMN_1695423,-0.61680452,0.2565
ILMN_1680886,0.20232084,0.2565061
ILMN_1690844,0.32864383,0.2565159
ILMN_1835697,-0.2178369,0.2565765
ILMN_1676067,0.96248542,0.2565823
ILMN_1710876,-0.18611241,0.2566001
ILMN_1781468,0.19907095,0.2566154
ILMN_1809951,-0.26968686,0.2566572
ILMN_1713613,-0.17780321,0.2566595
ILMN_2381559,0.3319176,0.2566747
ILMN_3253404,0.17058065,0.2567065
ILMN_1678459,-0.24919169,0.2567181
ILMN_3263384,-0.18713875,0.2567467
ILMN_3244487,0.16687097,0.2567517
ILMN_1728779,-0.31630359,0.2567603
ILMN_1735811,0.23074355,0.2567615
ILMN_1760339,-0.2241367,0.2567681
ILMN_1807031,-0.20982647,0.2567931
ILMN_1806312,-0.16659911,0.2568118
ILMN_1708798,0.17125374,0.2568185
ILMN_1812773,0.20721386,0.2568445
ILMN_2403730,0.30309413,0.2568635
ILMN_1805776,0.22752313,0.2568721
ILMN_1716821,-0.17327528,0.2568722
ILMN_3243124,-0.16628715,0.2568732
ILMN_1679641,0.20031371,0.256915
ILMN_1789361,0.21273382,0.2569623
ILMN_1730492,-0.24592412,0.2569631
ILMN_1788439,-0.32605195,0.2569778
ILMN_1680322,0.17071728,0.2569784
ILMN_3241993,0.23960983,0.2569838
ILMN_3244125,-0.2212841,0.2569844
ILMN_1917103,0.1993186,0.256997
ILMN_1845076,-0.31706499,0.2570011
ILMN_2218648,-0.23563944,0.2570041
ILMN_1751984,0.25593089,0.2570168
ILMN_2407775,0.24129966,0.2570229
ILMN_1652722,-0.37196099,0.2570554
ILMN_2367275,-0.37845689,0.2570571
ILMN_1735804,-0.31677939,0.2570686
ILMN_3240524,-0.37822902,0.2570751
ILMN_1815239,0.33519882,0.257098
ILMN_1898727,0.17978883,0.2571184
ILMN_1693635,0.21248042,0.2571289
ILMN_1765872,0.18491463,0.257154
ILMN_1663980,0.18786024,0.2571646
ILMN_1651690,0.37140088,0.2571688
ILMN_1787731,0.18133422,0.2571787
ILMN_1667366,0.20679745,0.2571934
ILMN_2395827,0.16964625,0.2572058
ILMN_1704166,0.32581627,0.257218
ILMN_1801044,0.17430638,0.257242
ILMN_1732509,0.23088428,0.2573187
ILMN_1653394,0.23739542,0.2573373
ILMN_1915629,0.18872911,0.2573459
ILMN_1699139,0.26025374,0.257358
ILMN_1772663,-0.32621233,0.2573645
ILMN_1655404,0.51342876,0.2573649
ILMN_1736751,0.19591665,0.2573697
ILMN_1811238,-0.38629457,0.2573851
ILMN_1738009,0.18527524,0.2573918
ILMN_2081813,0.54799877,0.2573986
ILMN_3237291,0.21171896,0.2574246
ILMN_1809148,0.17991659,0.2574427
ILMN_2177389,-0.21039667,0.2574794
ILMN_1795507,-0.28719333,0.2574924
ILMN_1740549,-0.29599812,0.2574962
ILMN_1664063,0.21630712,0.2574975
ILMN_2298958,0.33421462,0.2575275
ILMN_3247882,0.18276413,0.2575421
ILMN_1659079,-0.2015305,0.2575515
ILMN_1686259,0.35184719,0.2576394
ILMN_2260813,0.17055657,0.2576431
ILMN_3187429,-0.25959776,0.2576764
ILMN_1676288,-0.28385137,0.2576826
ILMN_1693740,0.25918798,0.2576827
ILMN_1705578,-0.17149163,0.2576881
ILMN_3248085,-0.18129172,0.2576961
ILMN_1749867,-0.26738228,0.2577116
ILMN_1696046,-0.2116141,0.2577223
ILMN_1807971,0.31330532,0.2577339
ILMN_1873508,-0.33843021,0.2577402
ILMN_1736548,-0.1786774,0.2577462
ILMN_1666236,-0.38617951,0.2577485
ILMN_2388403,0.17161609,0.2577606
ILMN_1793146,-0.29639856,0.2577804
ILMN_1764061,-0.30863699,0.2577834
ILMN_3222998,-0.29201196,0.257797
ILMN_1691458,-0.22574664,0.2578219
ILMN_1879326,-0.20004672,0.2578984
ILMN_2110338,-0.18950831,0.2579635
ILMN_1713161,-0.37057787,0.2579831
ILMN_1705568,0.2173433,0.2579949
ILMN_1772869,0.93056246,0.2579977
ILMN_1671651,0.33986263,0.2580028
ILMN_1757626,0.19489332,0.2580042
ILMN_1769207,0.21740108,0.2580067
ILMN_1797063,0.28468191,0.2580103
ILMN_1709085,-0.17001584,0.2580314
ILMN_1744211,0.16915381,0.2580316
ILMN_3240966,0.17897725,0.2580349
ILMN_1711371,0.17140661,0.2580414
ILMN_1814812,-0.16785898,0.2580494
ILMN_3298124,-0.20638178,0.2580634
ILMN_1772274,-0.17155169,0.2580638
ILMN_1895897,-0.23358781,0.2580639
ILMN_1771593,-0.31672809,0.2580783
ILMN_2290251,0.22934874,0.2581033
ILMN_1713013,0.30126866,0.2581231
ILMN_3253126,0.2972591,0.2581266
ILMN_1665923,-0.26960674,0.2581299
ILMN_1696827,0.26269743,0.2581464
ILMN_1774476,0.16383797,0.2581503
ILMN_1780799,1.00868947,0.2581584
ILMN_1695983,0.17507025,0.2581968
ILMN_3241292,0.20363757,0.2582673
ILMN_2397571,0.36272124,0.2582867
ILMN_1737949,0.25051378,0.2582971
ILMN_1730799,0.21340193,0.2582989
ILMN_1798104,0.37338414,0.2583512
ILMN_1794505,-0.63831512,0.2583691
ILMN_2291862,0.21967502,0.2583705
ILMN_1687533,-0.17062205,0.2583826
ILMN_3246005,0.25379328,0.2583981
ILMN_1748797,-0.17178964,0.258403
ILMN_1699805,0.16648009,0.2584337
ILMN_1659862,-0.29377954,0.2584372
ILMN_1654217,0.26950254,0.2584394
ILMN_2184640,0.32005657,0.2584422
ILMN_1709880,0.25866555,0.2584822
ILMN_2131123,0.18169212,0.2584898
ILMN_1682197,-0.19052509,0.2584972
ILMN_1865078,0.21257789,0.2585166
ILMN_1693352,-0.27035078,0.2585906
ILMN_1803302,0.25306689,0.2585917
ILMN_1684321,-0.27874859,0.2586318
ILMN_1742600,0.19250772,0.2586399
ILMN_1702125,-0.3488506,0.2586418
ILMN_2393994,-0.22129167,0.2586498
ILMN_1745992,0.18392704,0.2586626
ILMN_1798166,-0.21956856,0.2587737
ILMN_1796154,-0.16920797,0.2587737
ILMN_1653742,-0.25319706,0.2587775
ILMN_3241578,0.20798712,0.2587842
ILMN_3244728,-0.18260912,0.2587869
ILMN_1657266,0.18133313,0.2587986
ILMN_1686906,0.39465049,0.2588013
ILMN_3226961,-0.1812982,0.258824
ILMN_1678627,0.18293442,0.2588262
ILMN_1670821,-0.18322019,0.2588436
ILMN_3187462,-0.22390664,0.2589352
ILMN_1660982,-0.26727409,0.2589355
ILMN_1704980,0.19526682,0.2589867
ILMN_3226216,0.18069402,0.2589984
ILMN_3297562,-0.1920037,0.2590075
ILMN_3193687,0.21570921,0.2590177
ILMN_1671169,0.26406214,0.259044
ILMN_3207233,-0.33298253,0.2590448
ILMN_3263601,0.24507527,0.2590859
ILMN_1781390,-0.23599872,0.2591266
ILMN_3197549,-0.28279391,0.2591326
ILMN_3231577,0.34110039,0.2591386
ILMN_1841019,0.31473207,0.2591427
ILMN_1732074,-0.40983147,0.2591809
ILMN_1772233,0.22886899,0.2592312
ILMN_1780455,-0.22129632,0.2592398
ILMN_3308188,-0.16615249,0.2592554
ILMN_1776524,0.36856548,0.25926
ILMN_1703488,-0.21648057,0.2592608
ILMN_1896071,-0.20025398,0.2592763
ILMN_1663416,-0.1637091,0.2592882
ILMN_1737806,-0.20579663,0.2593349
ILMN_1771832,0.2698685,0.2593352
ILMN_1706539,0.23405791,0.2593623
ILMN_1805385,0.23575946,0.2593639
ILMN_1878644,0.17998483,0.2593893
ILMN_1701267,0.17987901,0.2593912
ILMN_2403446,0.32920745,0.2594377
ILMN_2392635,0.3053241,0.2594509
ILMN_2317730,0.25151104,0.2594576
ILMN_2297864,0.23108648,0.2595018
ILMN_3211831,-0.19057318,0.2595478
ILMN_1651492,0.24632657,0.2595562
ILMN_2383871,-0.19632027,0.2595806
ILMN_2129658,-0.18353657,0.2595974
ILMN_1800659,0.25981672,0.2596342
ILMN_1654634,-0.18323487,0.2596512
ILMN_3279712,-0.6411791,0.2596676
ILMN_1719206,-0.32424603,0.2596683
ILMN_1700337,-0.60399197,0.2596863
ILMN_1699790,-0.21631532,0.2596971
ILMN_2260991,-0.58047919,0.2597016
ILMN_3230370,0.16658595,0.2597098
ILMN_1683067,-0.19006724,0.2597199
ILMN_1674551,-0.26574951,0.2597306
ILMN_1689350,-0.33089784,0.2597433
ILMN_1719256,-0.28900412,0.259746
ILMN_1808095,0.25496959,0.2597704
ILMN_2390227,0.29796587,0.2597787
ILMN_2337974,-0.96205954,0.2597907
ILMN_1690920,-0.24385148,0.2597987
ILMN_1734690,0.17317165,0.2597998
ILMN_2268855,0.2183062,0.2598177
ILMN_3197097,-0.35684106,0.2598705
ILMN_1696528,0.17436451,0.2598754
ILMN_1666656,-0.16887886,0.2599312
ILMN_1753468,-0.26143798,0.2599333
ILMN_1687279,0.22980036,0.2599352
ILMN_1782403,-0.45312317,0.2599414
ILMN_2260500,0.37352888,0.2599451
ILMN_1701877,-0.75022408,0.2599546
ILMN_3309939,-0.2168061,0.2599689
ILMN_2088234,-0.22755697,0.2599957
ILMN_2203891,0.37985362,0.2600085
ILMN_1692650,0.25146246,0.2600126
ILMN_1859293,-0.24144616,0.2600575
ILMN_2395981,-0.2731649,0.2600591
ILMN_3238652,-0.26520428,0.2600832
ILMN_2347249,0.17897177,0.2600941
ILMN_1859908,-0.3050159,0.2601008
ILMN_1853824,0.64513005,0.2601116
ILMN_1802358,-0.26589682,0.260116
ILMN_1789648,-0.17523306,0.2601371
ILMN_1757825,0.28027228,0.2601515
ILMN_2221673,0.25134506,0.2601585
ILMN_1916137,0.18646658,0.260188
ILMN_1776858,-0.21938038,0.2601909
ILMN_1665246,-0.16732677,0.2602044
ILMN_3244579,-0.22303686,0.2602269
ILMN_2380605,0.22293211,0.2602279
ILMN_1755910,0.32038558,0.2602347
ILMN_1767032,-0.22804697,0.2602862
ILMN_1914405,0.17977065,0.2603018
ILMN_2231021,0.34354468,0.2603096
ILMN_1785644,-0.2260382,0.2603184
ILMN_3233205,0.44952566,0.2603558
ILMN_1851376,0.24371697,0.260362
ILMN_1796787,0.18898485,0.260383
ILMN_1861556,-0.16325403,0.2603904
ILMN_1670606,0.17760775,0.2603979
ILMN_1775569,0.17428195,0.2604255
ILMN_1788416,-0.40000807,0.2604356
ILMN_1756125,0.32150104,0.2604658
ILMN_1739421,0.20249336,0.2605107
ILMN_1670956,-0.21939499,0.260524
ILMN_1795826,0.17990556,0.2605553
ILMN_1735502,-0.25149329,0.2605804
ILMN_1665916,-0.32111698,0.2606186
ILMN_3240425,0.20818866,0.2606618
ILMN_1794805,-0.17868369,0.2606878
ILMN_1683460,0.17164285,0.2607445
ILMN_1797342,-0.20887801,0.2607747
ILMN_2091717,0.17969175,0.2607767
ILMN_1696852,0.20655248,0.2608029
ILMN_1663562,0.30333405,0.2608165
ILMN_1728684,0.28903007,0.2608298
ILMN_2102693,-0.16606431,0.2608331
ILMN_1813197,-0.18340989,0.2608669
ILMN_1730768,0.20087883,0.2608749
ILMN_1806313,-0.18927501,0.2608885
ILMN_1783610,-0.25924686,0.2609157
ILMN_1715069,0.31875383,0.260951
ILMN_1720162,0.19844405,0.2610086
ILMN_1821397,0.24977552,0.2610211
ILMN_1711826,0.2374576,0.2610685
ILMN_3205929,0.19355799,0.2610762
ILMN_1721113,-0.39553295,0.2611027
ILMN_3199970,-0.16433581,0.2611235
ILMN_1738819,0.3138859,0.2611371
ILMN_1694389,0.25378529,0.2611377
ILMN_1846807,0.27194128,0.2612224
ILMN_1711353,0.28162075,0.2612349
ILMN_1843198,0.64000991,0.2612641
ILMN_2253017,-0.18876061,0.2612796
ILMN_2390609,0.21600483,0.261289
ILMN_1806979,-0.18947345,0.2613124
ILMN_1660816,-0.163244,0.2613451
ILMN_2288070,0.24553278,0.2613464
ILMN_1769031,0.40901166,0.2613529
ILMN_2179652,-0.43592008,0.2614754
ILMN_3306869,0.17558168,0.2614807
ILMN_2091310,1.59630751,0.2614916
ILMN_1689607,0.17651821,0.2615006
ILMN_2181469,0.30870265,0.2615656
ILMN_1849794,0.34458214,0.26164
ILMN_1685679,0.27436833,0.2616453
ILMN_1697405,0.21122636,0.2616473
ILMN_1705581,0.23892134,0.2616534
ILMN_1812759,0.31793147,0.2616973
ILMN_1709006,0.20653853,0.2617815
ILMN_3297392,-0.24493887,0.2617837
ILMN_1777106,-0.26513233,0.2617856
ILMN_1666648,0.48265979,0.2617922
ILMN_1913232,-0.2767782,0.2617964
ILMN_1859544,-0.24480849,0.2617979
ILMN_3241692,-0.69185134,0.2618088
ILMN_1711427,-0.19283631,0.2618452
ILMN_1730796,0.16436629,0.2618477
ILMN_1686151,0.31875129,0.2618555
ILMN_2098126,-0.25569919,0.2618945
ILMN_1680840,-0.33243343,0.2619036
ILMN_1659099,0.27107553,0.2619665
ILMN_1766966,0.30581829,0.2619929
ILMN_1761778,0.34064872,0.2620057
ILMN_3253314,0.17395712,0.2620315
ILMN_1670111,0.25377393,0.2620456
ILMN_1779616,0.52478756,0.2620459
ILMN_1684045,-0.20938816,0.2620645
ILMN_2163025,0.18432112,0.2620935
ILMN_1764617,0.40309,0.2621054
ILMN_1724708,-0.76855932,0.2622263
ILMN_1658713,0.30809256,0.2622496
ILMN_1815169,-0.5056928,0.2622564
ILMN_1656421,-0.19199065,0.26226
ILMN_1737107,-0.16430291,0.2622927
ILMN_1730229,0.34894849,0.2623053
ILMN_3241382,0.16348562,0.2623136
ILMN_2344988,0.3264093,0.2623244
ILMN_1703477,-0.37899595,0.2623538
ILMN_1774983,0.19237599,0.262364
ILMN_1805614,0.40202708,0.262423
ILMN_2243687,-0.31923196,0.2624312
ILMN_1673320,-0.17632245,0.2624513
ILMN_1885233,-0.21107292,0.2624528
ILMN_1896158,0.17924198,0.2624558
ILMN_3236220,-0.37071583,0.2624763
ILMN_1810441,-0.25304474,0.2625345
ILMN_1757019,-0.50973631,0.2625434
ILMN_3236898,0.20539307,0.2625788
ILMN_1692831,-0.26903136,0.2625884
ILMN_1697338,0.29018346,0.2625963
ILMN_3241535,-0.18432288,0.2626178
ILMN_2090351,-0.19397101,0.2626244
ILMN_3246078,-0.23381138,0.2626311
ILMN_1670218,-0.26736417,0.2626734
ILMN_1891380,0.18673467,0.262674
ILMN_1690843,0.16359646,0.2626811
ILMN_1752476,-0.19905696,0.2627607
ILMN_1731568,0.18831855,0.2627677
ILMN_1788349,-0.17207307,0.2627765
ILMN_1757601,-0.23822791,0.2627776
ILMN_3208330,-0.21631099,0.2627809
ILMN_1661985,0.16935049,0.2627914
ILMN_1793460,-0.20548363,0.2628518
ILMN_1781656,-0.17911645,0.2629099
ILMN_1735415,-0.23881113,0.2629555
ILMN_1761939,-0.18888044,0.2629672
ILMN_3247639,0.18957109,0.2629774
ILMN_1732948,0.16435772,0.2629877
